,country,most_important_feature,feature_value,# functioning,# not functioning,percentage_broken
0,Sierra Leone,age_well_years,__MISSING__,3047.0,2532.0,45.38
1,Sierra Leone,age_well_years,9.1,1186.0,262.0,18.09
2,Sierra Leone,age_well_years,3.7,588.0,199.0,25.29
3,Sierra Leone,age_well_years,4.1,870.0,195.0,18.31
4,Sierra Leone,age_well_years,3.1,1032.0,193.0,15.76
5,Sierra Leone,age_well_years,6.1,668.0,172.0,20.48
6,Sierra Leone,age_well_years,7.1,544.0,158.0,22.51
7,Sierra Leone,age_well_years,6.6,361.0,156.0,30.17
8,Sierra Leone,age_well_years,2.1,1466.0,153.0,9.45
9,Sierra Leone,age_well_years,3.6,559.0,150.0,21.16
10,Sierra Leone,age_well_years,4.7,532.0,150.0,21.99
11,Sierra Leone,age_well_years,1.1,1553.0,146.0,8.59
12,Sierra Leone,age_well_years,5.1,675.0,144.0,17.58
13,Sierra Leone,age_well_years,8.1,575.0,141.0,19.69
14,Sierra Leone,age_well_years,0.7,552.0,138.0,20.0
15,Sierra Leone,age_well_years,5.6,374.0,134.0,26.38
16,Sierra Leone,age_well_years,4.2,475.0,131.0,21.62
17,Sierra Leone,age_well_years,6.7,432.0,129.0,22.99
18,Sierra Leone,age_well_years,2.7,647.0,129.0,16.62
19,Sierra Leone,age_well_years,8.2,428.0,129.0,23.16
20,Sierra Leone,age_well_years,2.2,907.0,127.0,12.28
21,Sierra Leone,age_well_years,4.6,435.0,127.0,22.6
22,Sierra Leone,age_well_years,12.7,275.0,122.0,30.73
23,Sierra Leone,age_well_years,2.6,420.0,119.0,22.08
24,Sierra Leone,age_well_years,0.6,579.0,119.0,17.05
25,Sierra Leone,age_well_years,3.2,585.0,103.0,14.97
26,Sierra Leone,age_well_years,1.7,516.0,101.0,16.37
27,Sierra Leone,age_well_years,1.2,972.0,100.0,9.33
28,Sierra Leone,age_well_years,1.6,481.0,97.0,16.78
29,Sierra Leone,age_well_years,8.6,221.0,96.0,30.28
30,Sierra Leone,age_well_years,10.1,235.0,95.0,28.79
31,Sierra Leone,age_well_years,9.2,503.0,94.0,15.75
32,Sierra Leone,age_well_years,6.2,389.0,93.0,19.29
33,Sierra Leone,age_well_years,5.2,503.0,92.0,15.46
34,Sierra Leone,age_well_years,7.6,254.0,90.0,26.16
35,Sierra Leone,age_well_years,7.2,393.0,90.0,18.63
36,Sierra Leone,age_well_years,5.7,443.0,85.0,16.1
37,Sierra Leone,age_well_years,7.7,248.0,82.0,24.85
38,Sierra Leone,age_well_years,8.7,284.0,82.0,22.4
39,Sierra Leone,age_well_years,10.6,255.0,81.0,24.11
40,Sierra Leone,age_well_years,11.6,195.0,76.0,28.04
41,Sierra Leone,age_well_years,9.7,233.0,76.0,24.6
42,Sierra Leone,age_well_years,11.7,292.0,75.0,20.44
43,Sierra Leone,age_well_years,30.9,217.0,74.0,25.43
44,Sierra Leone,age_well_years,13.7,311.0,74.0,19.22
