duration,start_time,start_station,end_time,end_station,bike
1716,1388552760000,31102,1388554440000,31632,W01363
154,1388553060000,31602,1388553180000,31107,W01433
318,1388553120000,31223,1388553420000,31509,W00065
480,1388553240000,31203,1388553720000,31109,W20903
345,1388553300000,31241,1388553660000,31600,W20888
1290,1388553360000,31042,1388554620000,31010,W00854
1298,1388553360000,31042,1388554680000,31010,W00107
515,1388553540000,31271,1388554080000,31232,W20352
398,1388553600000,31271,1388553960000,31232,W20825
470,1388553600000,31271,1388554080000,31232,W00319
339,1388553660000,31271,1388554020000,31232,W20363
535,1388553720000,31113,1388554260000,31234,W00032
487,1388553720000,31113,1388554200000,31202,W21482
410,1388553720000,31233,1388554140000,31214,W01026
438,1388553720000,31233,1388554140000,31214,W20586
270,1388553780000,31214,1388554080000,31200,W20406
294,1388553840000,31104,1388554140000,31105,W00078
603,1388553960000,31250,1388554560000,31232,W00584
769,1388553960000,31223,1388554680000,31202,W20730
640,1388553960000,31200,1388554620000,31101,W01365
753,1388553960000,31223,1388554680000,31202,W01261
592,1388553960000,31228,1388554560000,31603,W20919
552,1388554200000,31101,1388554740000,31207,W20359
780,1388554260000,31042,1388555040000,31047,W20639
744,1388554260000,31042,1388555040000,31047,W00017
289,1388554260000,31618,1388554560000,31616,W20188
800,1388554260000,31202,1388555100000,31627,W21482
399,1388554320000,31267,1388554740000,31100,W00591
397,1388554320000,31610,1388554740000,31628,W20412
412,1388554380000,31107,1388554800000,31400,W00324
1395,1388554380000,31119,1388555820000,31610,W00098
1005,1388554380000,31250,1388555400000,31108,W01425
1481,1388554440000,31610,1388555940000,31504,W20404
405,1388554500000,31111,1388554860000,31116,W21015
749,1388554560000,31611,1388555280000,31503,W20554
796,1388554560000,31611,1388555340000,31503,W00874
833,1388554620000,31613,1388555460000,31108,W20560
823,1388554620000,31613,1388555400000,31108,W00055
519,1388554740000,31111,1388555220000,31202,W20855
126,1388554680000,31102,1388554860000,31602,W00328
729,1388554740000,31022,1388555460000,31030,W20791
395,1388554860000,31228,1388555220000,31266,W01185
1378,1388554860000,31624,1388556240000,31101,W20250
197,1388554920000,31107,1388555100000,31103,W01259
536,1388555100000,31245,1388555640000,31119,W01268
295,1388555100000,31627,1388555400000,31508,W21482
526,1388555160000,31101,1388555640000,31103,W01304
298,1388555160000,31238,1388555460000,31241,W00289
362,1388555220000,31613,1388555580000,31626,W00280
848,1388555220000,31305,1388556060000,31101,W00659
237,1388555340000,31616,1388555580000,31631,W00535
1522,1388555340000,31246,1388556900000,31509,W00483
821,1388555400000,31252,1388556180000,31246,W20969
840,1388555400000,31265,1388556240000,31603,W21168
948,1388555400000,31266,1388556360000,31229,W20321
718,1388555520000,31111,1388556240000,31228,W01266
453,1388555580000,31600,1388556060000,31241,W20888
294,1388555640000,32002,1388555940000,32008,W00720
1254,1388555640000,31266,1388556900000,31204,W01185
240,1388555640000,31603,1388555880000,31615,W20440
417,1388555760000,31265,1388556180000,31241,W20342
1355,1388555760000,31256,1388557080000,31229,W20452
400,1388555760000,31101,1388556180000,31266,W20690
354,1388555940000,31032,1388556300000,31024,W00327
462,1388555820000,31214,1388556300000,31114,W21451
354,1388555880000,31245,1388556240000,31214,W20052
618,1388555940000,31263,1388556540000,31506,W20536
610,1388556000000,31611,1388556600000,31607,W21034
